velocities,frequencies
-195,-12.845849802371541
-160,-12.5
-15,-0.0
85,0.0
40,0.0
190,0.0
50,0.0
5,0.0
-100,-12.048192771084336
-60,-10.5
185,0.0
-25,-0.0
135,0.0
-125,-12.048192771084336
-90,-11.592741935483872
-50,-17.068273092369477
-195,-12.845849802371541
-160,-13.052208835341364
-15,-0.0
85,11.088709677419356
40,16.260162601626018
190,13.211102407215295
50,17.784552845528456
5,0.0
-100,-12.096774193548386
-60,-10.5
185,12.703252032520323
-25,-15.120967741935486
135,12.048192771084336
-125,-12.19512195121951
-90,-11.592741935483872
-50,-10.121457489878543
-185,-19.23076923076923
15,0.0
95,11.133603238866396
255,12.896825396825395
220,12.600806451612906
-105,-12.048192771084336
-80,-11.178861788617885
130,11.088709677419356
-85,-11.734444420824387
25,0.0
-245,-13.10483870967742
150,11.45418326693227
80,10.0
55,18.072289156626503
105,11.0
240,13.0
65,9.5
-240,-13.0
235,12.703252032520323
-205,-12.400537356618786
225,12.550200803212851
-120,-11.639676113360323
-150,-12.096774193548386
-55,-9.576612903225808
60,0.0
245,12.145748987854251
-135,-12.048192771084336
250,12.550200803212851
-115,-11.0
115,10.458167330677291
45,0.0
215,12.096774193548386
140,11.546184738955823
180,12.45019920318725
-40,-8.5
0,0.0
-155,-12.096520150366466
-140,-11.592741935483872
210,11.952191235059761
-35,-11.45418326693227
-45,-9.0
120,10.5
175,11.639676113360323
-175,-12.5
-130,-11.5
170,11.639676113360323
-30,-9.46215139442231
-165,-12.096774193548386
160,11.592741935483872
-75,-10.080433458638721
-255,-12.550200803212851
-20,-0.0
-5,-0.0
20,0.0
10,0.0
-250,-12.5
125,11.0
-210,-12.096774193548386
165,11.5
70,18.724696356275302
200,11.6869918699187
-225,-12.5
-65,-12.600806451612906
110,0.0
100,0.0
-235,-12.550200803212851
-230,-12.096774193548386
35,0.0
-215,-12.096774193548386
230,12.550200803212851
-180,-12.048192771084336
155,11.408730158730158
-70,-19.5
-110,-10.5
-10,-0.0
195,11.59249847743453
-220,-12.45019920318725
75,0.0
-200,-12.145748987854251
205,11.639676113360323
-190,-12.048192771084336
-95,-10.5
90,0.0
-145,-11.59249847743453
-170,-12.096774193548386
145,11.546184738955823
30,0.0
105,0.0
140,0.0
135,11.546184738955823
-115,-11.5
-80,-10.58467741935484
-105,-11.088709677419356
175,11.546184738955823
-85,-10.5
120,0.0
90,0.0
-170,-12.096774193548386
-245,-12.550200803212851
190,12.048192771084336
-220,-12.550200803212851
-20,-0.0
-255,-12.550200803212851
-65,-12.600806451612906
210,12.145492883500262
-180,-12.550200803212851
-25,-12.5
-235,-12.5
-110,-11.044176706827308
-60,-11.5
55,0.0
205,12.45019920318725
-5,-0.0
-230,-12.0
-175,-12.145748987854251
-210,-12.703252032520323
-130,-11.592741935483872
-205,-12.600806451612906
-35,-12.600806451612906
235,12.244897959183673
-200,-12.549938296136709
0,0.0
240,12.600806451612906
185,12.096774193548386
-10,-0.0
225,0.0
250,12.550200803212851
-240,-9.46215139442231
125,0.0
130,11.546184738955823
-40,-9.072580645161292
-120,-12.096774193548386
110,0.0
160,12.145748987854251
-150,-12.5
-225,-12.145748987854251
-45,-19.0
-190,-12.600806451612906
200,0.0
-55,-12.096774193548386
-215,-12.651821862348179
45,0.0
-250,-13.052208835341364
70,0.0
-145,-12.048192771084336
40,0.0
145,11.5
215,0.0
165,11.952191235059761
80,0.0
220,12.550200803212851
10,0.0
5,0.0
150,0.0
-140,-12.096774193548386
-30,-12.048192771084336
-135,-12.096774193548386
-195,-12.550200803212851
245,12.600806451612906
180,12.096774193548386
75,0.0
195,12.550200803212851
115,0.0
-50,-11.546184738955823
155,0.0
30,0.0
-125,-12.04794076429124
100,0.0
95,10.458167330677291
-160,-12.048192771084336
230,12.5
85,12.096774193548386
50,0.0
-75,-10.5
65,0.0
-185,-12.600806451612906
-70,-8.534136546184738
-100,-11.088709677419356
35,0.0
-95,-10.542168674698795
25,0.0
-165,-12.096520150366466
15,0.0
170,12.145492883500262
60,0.0
-155,-12.600806451612906
-15,-0.0
20,0.0
-90,-10.542168674698795
255,9.538152610441767
180,11.904761904761903
-10,-0.0
35,0.0
-255,-12.45019920318725
80,0.0
5,0.0
-145,-12.0
-220,-12.45019920318725
-45,-9.576612903225808
-175,-12.096774193548386
-25,-12.550200803212851
185,12.145748987854251
-230,-12.550200803212851
-250,-12.94820717131474
-215,-12.600806451612906
45,0.0
150,11.546184738955823
-190,-12.600806451612906
170,12.048192771084336
-165,-12.096774193548386
-245,-12.600806451612906
0,0.0
-95,-10.5
135,11.592741935483872
-140,-12.096774193548386
130,11.044176706827308
165,12.145748987854251
-170,-12.5
225,12.145748987854251
235,12.550200803212851
95,0.0
145,11.5
-150,-12.145748987854251
120,10.58467741935484
70,0.0
55,0.0
195,12.5
-40,-12.600541823298402
-200,-12.5
65,0.0
-240,-12.600806451612906
-160,-12.0
-125,-11.546184738955823
255,12.600806451612906
220,12.5
-55,-9.538152610441767
-35,-11.59249847743453
-75,-10.5
-195,-12.600806451612906
230,12.45019920318725
-115,-11.546184738955823
30,0.0
-180,-12.5
